,sent:,Received,sent_data,sent_timestamp,sent_packet,received_data,received_timestamp,received_packet,latency
111,"20180516,23:22:00.762,sent packet '112'","20180516,23:22:00.766,unicast message '112' received from 2D:C8",20180516,23:22:00.762,sent packet '112',20180516,23:22:00.766,unicast message '112' received from 2D:C8,4000000
112,"20180516,23:22:01.758,sent packet '113'","20180516,23:22:01.762,unicast message '113' received from 2D:C8",20180516,23:22:01.758,sent packet '113',20180516,23:22:01.762,unicast message '113' received from 2D:C8,4000000
113,"20180516,23:22:02.755,sent packet '114'","20180516,23:22:02.759,unicast message '114' received from 2D:C8",20180516,23:22:02.755,sent packet '114',20180516,23:22:02.759,unicast message '114' received from 2D:C8,4000000
114,"20180516,23:22:03.750,sent packet '115'","20180516,23:22:03.755,unicast message '115' received from 2D:C8",20180516,23:22:03.750,sent packet '115',20180516,23:22:03.755,unicast message '115' received from 2D:C8,5000000
115,"20180516,23:22:04.748,sent packet '116'","20180516,23:22:04.752,unicast message '116' received from 2D:C8",20180516,23:22:04.748,sent packet '116',20180516,23:22:04.752,unicast message '116' received from 2D:C8,4000000
116,"20180516,23:22:05.744,sent packet '117'","20180516,23:22:05.749,unicast message '117' received from 2D:C8",20180516,23:22:05.744,sent packet '117',20180516,23:22:05.749,unicast message '117' received from 2D:C8,5000000
117,"20180516,23:22:06.741,sent packet '118'","20180516,23:22:06.745,unicast message '118' received from 2D:C8",20180516,23:22:06.741,sent packet '118',20180516,23:22:06.745,unicast message '118' received from 2D:C8,4000000
118,"20180516,23:22:07.737,sent packet '119'","20180516,23:22:07.742,unicast message '119' received from 2D:C8",20180516,23:22:07.737,sent packet '119',20180516,23:22:07.742,unicast message '119' received from 2D:C8,5000000
119,"20180516,23:22:08.734,sent packet '120'","20180516,23:22:08.738,unicast message '120' received from 2D:C8",20180516,23:22:08.734,sent packet '120',20180516,23:22:08.738,unicast message '120' received from 2D:C8,4000000
120,"20180516,23:22:09.730,sent packet '121'","20180516,23:22:09.735,unicast message '121' received from 2D:C8",20180516,23:22:09.730,sent packet '121',20180516,23:22:09.735,unicast message '121' received from 2D:C8,5000000
121,"20180516,23:22:10.726,sent packet '122'","20180516,23:22:10.731,unicast message '122' received from 2D:C8",20180516,23:22:10.726,sent packet '122',20180516,23:22:10.731,unicast message '122' received from 2D:C8,5000000
122,"20180516,23:22:11.723,sent packet '123'","20180516,23:22:11.728,unicast message '123' received from 2D:C8",20180516,23:22:11.723,sent packet '123',20180516,23:22:11.728,unicast message '123' received from 2D:C8,5000000
123,"20180516,23:22:12.720,sent packet '124'","20180516,23:22:12.724,unicast message '124' received from 2D:C8",20180516,23:22:12.720,sent packet '124',20180516,23:22:12.724,unicast message '124' received from 2D:C8,4000000
124,"20180516,23:22:13.716,sent packet '125'","20180516,23:22:13.721,unicast message '125' received from 2D:C8",20180516,23:22:13.716,sent packet '125',20180516,23:22:13.721,unicast message '125' received from 2D:C8,5000000
125,"20180516,23:22:14.713,sent packet '126'","20180516,23:22:14.718,unicast message '126' received from 2D:C8",20180516,23:22:14.713,sent packet '126',20180516,23:22:14.718,unicast message '126' received from 2D:C8,5000000
126,"20180516,23:22:15.709,sent packet '127'","20180516,23:22:15.714,unicast message '127' received from 2D:C8",20180516,23:22:15.709,sent packet '127',20180516,23:22:15.714,unicast message '127' received from 2D:C8,5000000
127,"20180516,23:22:16.706,sent packet '128'","20180516,23:22:16.710,unicast message '128' received from 2D:C8",20180516,23:22:16.706,sent packet '128',20180516,23:22:16.710,unicast message '128' received from 2D:C8,4000000
128,"20180516,23:22:17.702,sent packet '129'","20180516,23:22:17.707,unicast message '129' received from 2D:C8",20180516,23:22:17.702,sent packet '129',20180516,23:22:17.707,unicast message '129' received from 2D:C8,5000000
